,0
787,337
788,348
789,359
790,370
791,378
792,377
793,360
794,329
795,293
796,262
797,247
798,251
799,268
800,289
801,303
802,306
803,300
804,291
805,284
806,283
807,286
808,293
809,300
810,307
811,314
812,321
813,325
814,323
815,312
816,293
817,270
818,249
819,237
820,239
821,254
822,278
823,302
824,318
825,323
826,316
827,301
828,287
829,278
830,280
831,291
832,306
833,321
834,331
835,336
836,336
837,333
838,328
839,320
840,308
841,295
842,283
843,278
844,280
845,291
846,307
847,321
848,330
849,329
850,320
851,305
852,288
853,275
854,269
855,274
856,291
857,317
858,344
859,366
860,374
861,367
862,347
863,324
864,309
865,307
866,319
867,339
868,362
869,379
870,389
871,393
872,391
873,387
874,378
875,368
876,357
877,352
878,357
879,374
880,399
881,427
882,447
883,456
884,454
885,445
886,437
887,435
888,442
889,455
890,470
891,484
892,492
893,495
894,494
895,489
896,484
897,480
898,479
899,482
900,490
901,504
902,524
903,550
904,581
905,614
906,644
907,665
908,674
909,672
910,665
911,659
912,661
913,675
914,698
915,722
916,741
917,752
918,755
919,753
920,751
921,752
922,756
923,765
924,779
925,798
926,824
927,854
928,882
929,904
930,915
931,918
932,916
933,917
934,925
935,941
936,960
937,975
938,982
939,981
940,976
941,971
942,969
943,969
944,969
945,969
946,968
947,968
948,970
949,974
950,977
951,977
952,973
953,966
954,960
955,958
956,960
957,964
958,964
959,959
960,946
961,929
962,911
963,893
964,874
965,853
966,831
967,810
968,796
969,792
970,799
971,812
972,824
973,824
974,810
975,783
976,750
977,718
978,695
979,685
980,685
981,691
982,698
983,703
984,701
985,691
986,674
987,652
988,627
989,605
990,591
991,586
992,589
993,597
994,604
995,606
996,601
997,588
998,571
999,552
1000,534
1001,520
1002,511
1003,510
1004,517
1005,530
1006,544
1007,555
1008,556
1009,546
1010,529
1011,510
1012,499
1013,499
1014,511
1015,528
1016,544
1017,551
1018,547
1019,534
1020,517
1021,503
1022,494
1023,493
1024,499
1025,510
1026,522
1027,532
1028,539
1029,541
1030,537
1031,531
1032,525
1033,524
1034,527
1035,532
1036,537
1037,538
1038,535
1039,530
1040,526
1041,527
1042,533
1043,543
1044,551
1045,556
1046,557
1047,556
1048,556
1049,561
1050,570
1051,580
1052,590
1053,596
1054,599
1055,599
1056,595
1057,589
1058,582
1059,575
1060,572
1061,574
1062,583
1063,596
1064,607
1065,610
1066,603
1067,588
1068,569
1069,554
1070,549
1071,555
1072,569
1073,587
1074,603
1075,615
1076,622
1077,624
1078,624
1079,622
1080,620
1081,618
1082,616
1083,616
1084,618
1085,622
1086,629
1087,636
1088,639
1089,636
1090,625
1091,608
1092,589
1093,574
1094,570
1095,580
1096,600
1097,622
1098,637
1099,638
1100,625
1101,603
1102,582
1103,572
1104,574
1105,587
1106,604
1107,617
1108,623
1109,624
1110,623
1111,625
1112,627
1113,629
1114,627
1115,620
1116,613
1117,610
1118,614
1119,624
1120,636
1121,641
1122,636
1123,619
1124,598
1125,579
1126,569
1127,571
1128,581
1129,594
1130,607
1131,616
1132,621
1133,624
1134,623
1135,618
1136,607
1137,592
1138,576
1139,565
1140,566
1141,578
1142,597
1143,616
1144,627
1145,626
1146,613
1147,596
1148,581
1149,573
1150,574
1151,581
1152,589
1153,596
1154,601
1155,603
1156,603
1157,602
1158,599
1159,592
1160,584
1161,578
1162,577
1163,585
1164,599
1165,615
1166,627
1167,629
1168,621
1169,605
1170,590
1171,580
1172,579
1173,587
1174,599
1175,611
1176,619
1177,621
1178,620
1179,615
1180,610
1181,606
1182,603
1183,600
1184,599
1185,600
1186,603
1187,609
1188,617
1189,625
1190,630
1191,628
1192,617
1193,601
1194,584
1195,573
1196,572
1197,582
1198,598
1199,614
1200,624
1201,624
1202,618
1203,608
1204,601
1205,595
1206,592
1207,588
1208,587
1209,593
1210,609
1211,637
1212,670
1213,699
1214,714
1215,710
1216,694
1217,677
1218,669
1219,679
1220,702
1221,729
1222,749
1223,757
1224,754
1225,746
1226,738
1227,733
1228,728
1229,720
1230,708
1231,697
1232,695
1233,707
1234,731
1235,763
1236,792
1237,811
1238,819
1239,824
1240,833
1241,855
1242,891
1243,936
1244,980
1245,1014
1246,1030
1247,1028
1248,1010
1249,981
1250,949
1251,921
1252,902
1253,894
1254,893
1255,895
1256,894
1257,886
1258,870
1259,850
1260,828
1261,810
1262,797
1263,791
1264,792
1265,798
1266,808
1267,818
1268,824
1269,821
1270,808
1271,786
1272,763
1273,743
1274,731
1275,727
1276,727
1277,725
1278,719
1279,710
1280,698
1281,686
1282,672
1283,653
1284,628
1285,599
1286,573
1287,560
1288,564
1289,583
1290,607
1291,623
1292,624
1293,607
1294,580
1295,553
1296,535
1297,531
1298,537
1299,549
1300,562
1301,574
1302,582
1303,588
1304,589
1305,582
1306,567
1307,545
1308,523
1309,507
1310,502
1311,509
1312,523
1313,537
1314,547
1315,548
1316,543
1317,535
1318,528
1319,525
1320,529
1321,540
1322,555
1323,569
1324,578
1325,575
1326,558
1327,529
1328,491
1329,450
1330,411
1331,381
1332,368
1333,383
1334,440
1335,551
1336,721
1337,944
1338,1203
1339,1482
1340,1770
1341,2067
1342,2387
1343,2736
1344,3111
1345,3482
1346,3801
1347,4018
1348,4095
1349,4020
1350,3813
1351,3510
1352,3155
1353,2780
1354,2408
1355,2057
1356,1740
1357,1474
1358,1273
1359,1136
1360,1051
1361,994
1362,938
1363,870
1364,792
1365,719
1366,672
1367,659
1368,672
1369,696
1370,709
1371,700
1372,668
1373,622
1374,571
1375,523
1376,480
1377,443
1378,413
1379,395
1380,390
1381,397
1382,407
1383,411
1384,401
1385,378
1386,351
1387,332
1388,327
1389,338
1390,356
1391,371
1392,376
1393,373
1394,365
1395,358
1396,353
1397,348
1398,340
1399,327
1400,312
1401,302
1402,300
1403,306
1404,316
1405,322
1406,321
1407,315
1408,306
1409,301
1410,300
1411,305
1412,311
1413,319
1414,326
1415,334
1416,340
1417,342
1418,338
1419,325
1420,308
1421,292
1422,282
1423,284
1424,294
1425,309
1426,322
1427,329
1428,329
1429,325
1430,318
1431,309
1432,300
1433,291
1434,285
1435,286
1436,295
1437,311
1438,330
1439,345
1440,351
1441,347
1442,333
1443,316
1444,300
1445,288
1446,284
1447,288
1448,298
1449,314
1450,331
1451,347
1452,355
1453,353
1454,343
1455,327
1456,313
1457,305
1458,307
1459,315
1460,326
1461,336
1462,341
1463,341
1464,336
1465,328
1466,320
1467,314
1468,314
1469,321
1470,334
1471,352
1472,370
1473,381
1474,385
1475,382
1476,376
1477,370
1478,368
1479,371
1480,377
1481,387
1482,399
1483,415
1484,430
1485,443
1486,447
1487,442
1488,427
1489,410
1490,399
1491,400
1492,416
1493,444
1494,476
1495,506
1496,529
1497,545
1498,554
1499,558
1500,557
1501,553
1502,549
1503,549
1504,557
1505,576
1506,604
1507,635
1508,662
1509,680
1510,687
1511,686
1512,681
1513,677
1514,677
1515,684
1516,700
1517,723
1518,752
1519,782
1520,807
1521,823
1522,828
1523,825
1524,820
1525,822
1526,834
1527,856
1528,881
1529,903
1530,918
1531,923
1532,922
1533,917
1534,913
1535,912
1536,912
1537,917
1538,925
1539,937
1540,952
1541,966
1542,976
1543,978
1544,972
1545,962
1546,951
1547,944
1548,943
1549,948
1550,957
1551,967
1552,976
1553,981
1554,979
1555,967
1556,946
1557,917
1558,888
1559,863
1560,849
1561,845
1562,848
1563,851
1564,847
1565,833
1566,810
1567,783
1568,757
1569,736
1570,721
1571,707
1572,695
1573,682
1574,671
1575,661
1576,655
1577,648
1578,638
1579,620
1580,594
1581,563
1582,535
1583,516
1584,511
1585,520
1586,535
1587,548
1588,552
1589,543
1590,525
1591,504
1592,487
1593,478
1594,476
1595,478
1596,481
1597,482
1598,480
1599,477
1600,471
1601,462
1602,448
1603,430
1604,412
1605,398
1606,395
1607,404
1608,420
1609,436
1610,444
1611,439
1612,421
1613,399
1614,381
1615,373
1616,378
1617,392
1618,407
1619,418
1620,422
1621,418
1622,410
1623,403
1624,397
1625,396
1626,397
1627,402
1628,409
1629,418
1630,430
1631,441
1632,449
1633,449
1634,440
1635,421
1636,397
1637,375
1638,363
1639,363
1640,375
1641,393
1642,409
1643,419
1644,422
1645,421
1646,419
1647,420
1648,422
1649,421
1650,418
1651,413
1652,411
1653,418
1654,434
1655,456
1656,476
1657,486
1658,482
1659,466
1660,445
1661,426
1662,415
1663,413
1664,418
1665,427
1666,435
1667,441
1668,442
1669,438
1670,430
1671,419
1672,411
1673,410
1674,418
1675,434
1676,452
1677,466
1678,469
1679,462
1680,450
1681,437
1682,429
1683,428
1684,431
1685,438
1686,446
1687,458
1688,471
1689,485
1690,493
1691,492
1692,478
1693,456
1694,430
1695,409
1696,397
1697,395
1698,400
1699,408
1700,420
1701,433
1702,447
1703,460
1704,466
1705,462
1706,448
1707,430
1708,417
1709,415
1710,426
1711,444
1712,461
1713,468
1714,464
1715,452
1716,438
1717,429
1718,426
1719,427
1720,429
1721,431
1722,432
1723,434
1724,436
1725,436
1726,434
1727,429
1728,423
1729,419
1730,420
1731,427
1732,435
1733,442
1734,443
1735,439
1736,430
1737,418
1738,405
1739,394
1740,384
1741,378
1742,378
1743,384
1744,394
1745,404
1746,412
1747,414
1748,412
1749,407
1750,404
1751,404
1752,408
1753,413
1754,419
1755,426
1756,432
1757,437
1758,436
1759,428
1760,410
1761,385
1762,362
1763,345
1764,340
1765,345
1766,354
1767,363
1768,368
1769,373
1770,380
1771,392
1772,406
1773,415
1774,414
1775,402
1776,387
1777,376
1778,378
1779,394
1780,418
1781,438
1782,444
1783,432
1784,405
1785,373
1786,347
1787,335
1788,340
1789,360
1790,388
1791,415
1792,435
1793,440
1794,430
1795,407
1796,379
1797,356
1798,343
1799,346
1800,361
1801,382
1802,404
1803,419
1804,425
1805,423
1806,412
1807,397
1808,381
1809,370
1810,366
1811,373
1812,388
1813,406
1814,420
1815,426
1816,421
1817,408
1818,393
1819,381
1820,377
1821,383
1822,397
1823,418
1824,441
1825,462
1826,477
1827,483
1828,480
1829,472
1830,465
1831,465
1832,476
1833,493
1834,511
1835,523
1836,526
1837,520
1838,509
1839,497
1840,488
1841,482
1842,481
1843,485
1844,498
1845,519
1846,548
1847,581
1848,611
1849,636
1850,655
1851,669
1852,681
1853,692
1854,702
1855,709
1856,713
1857,715
1858,718
1859,723
1860,727
1861,724
1862,711
1863,688
1864,659
1865,633
1866,616
1867,612
1868,617
1869,627
1870,637
1871,644
1872,648
1873,647
1874,639
1875,621
1876,593
1877,559
1878,526
1879,503
1880,494
1881,496
1882,501
1883,502
1884,494
1885,478
1886,458
